Tau,SF,+-
956.853,9.67783e-23,5.28019e-24
959.475,9.65636e-23,5.23571e-24
962.096,9.37028e-23,5.56973e-24
964.718,1.03175e-22,5.74299e-24
967.339,9.79512e-23,5.27707e-24
969.961,9.37847e-23,5.49197e-24
972.582,9.78307e-23,5.40717e-24
975.204,9.51274e-23,4.94686e-24
977.825,9.72413e-23,5.30788e-24
980.447,9.7637e-23,5.14753e-24
983.069,1.01891e-22,5.10151e-24
985.69,9.70277e-23,5.35669e-24
988.312,1.03735e-22,5.75072e-24
990.933,1.0564e-22,5.17919e-24
993.555,1.03243e-22,5.39103e-24
996.176,1.0137e-22,5.38877e-24
998.798,9.88556e-23,5.0073e-24
1001.42,1.03607e-22,5.32201e-24
1004.04,1.01648e-22,5.47289e-24
1006.66,1.0006e-22,4.91189e-24
1009.28,1.06683e-22,5.23785e-24
1011.91,9.87869e-23,5.29624e-24
1014.53,9.98598e-23,5.29216e-24
1017.15,1.03789e-22,5.25622e-24
1019.77,1.03812e-22,5.58352e-24
1022.39,1.09555e-22,5.76798e-24
1025.01,1.10565e-22,5.16794e-24
1027.63,1.08805e-22,5.6314e-24
1030.26,1.11703e-22,6.05294e-24
1032.88,1.1653e-22,5.49818e-24
1035.5,1.17364e-22,6.21001e-24
1038.12,1.1129e-22,5.52214e-24
1040.74,1.14658e-22,5.55629e-24
1043.36,1.17257e-22,6.07693e-24
1045.98,1.14055e-22,5.80621e-24
1048.61,1.14091e-22,5.53153e-24
1051.23,1.15426e-22,5.35693e-24
1053.85,1.1103e-22,5.48991e-24
1056.47,1.12112e-22,5.42116e-24
1059.09,1.10077e-22,4.92163e-24
1061.71,1.10708e-22,5.3829e-24
1064.34,1.13137e-22,5.57754e-24
1066.96,1.1186e-22,5.04208e-24
1069.58,1.07417e-22,5.34332e-24
1072.2,1.04953e-22,5.33035e-24
1074.82,1.11007e-22,5.24235e-24
1077.44,1.10144e-22,5.36929e-24
1080.06,1.08039e-22,5.36279e-24
1082.69,1.11493e-22,5.3245e-24
1085.31,1.10211e-22,5.55217e-24
1087.93,1.05595e-22,5.57816e-24
1090.55,1.0999e-22,5.49466e-24
1093.17,1.08257e-22,5.56341e-24
1095.79,1.05193e-22,6.2114e-24
1098.42,1.0558e-22,5.79543e-24
1101.04,1.05795e-22,5.88274e-24
1103.66,9.68851e-23,5.92084e-24
1106.28,9.44769e-23,5.88714e-24
1108.9,1.0104e-22,5.63772e-24
1111.52,9.77952e-23,6.24205e-24
1114.14,9.07973e-23,5.69408e-24
1116.77,1.00508e-22,5.2915e-24
1119.39,9.92513e-23,5.621e-24
