Tau,SF,+-
1301.66,2.59684e-21,1.73959e-22
1304.62,2.68263e-21,1.73399e-22
1307.59,2.7867e-21,1.64805e-22
1310.55,2.73936e-21,1.62545e-22
1313.52,2.87564e-21,1.87556e-22
1316.48,3.07019e-21,1.91016e-22
1319.45,3.14478e-21,1.85101e-22
1322.41,2.93745e-21,1.71304e-22
1325.38,2.77705e-21,1.73151e-22
1328.34,2.70131e-21,1.5357e-22
1331.31,2.8799e-21,1.69087e-22
1334.27,3.05053e-21,1.93575e-22
1337.24,3.58463e-21,2.65293e-22
1340.2,3.77314e-21,2.69625e-22
1343.17,3.98548e-21,2.89612e-22
1346.13,3.57921e-21,2.41815e-22
1349.1,3.13475e-21,1.86956e-22
1352.06,2.99991e-21,1.60954e-22
1355.03,2.99623e-21,1.58888e-22
1357.99,2.95543e-21,1.53231e-22
1360.96,2.94218e-21,1.53486e-22
1363.92,3.02878e-21,1.56202e-22
1366.89,2.97271e-21,1.64837e-22
1369.85,2.77618e-21,1.59158e-22
1372.82,2.76724e-21,1.46557e-22
1375.78,2.75996e-21,1.52181e-22
1378.75,2.70842e-21,1.5975e-22
1381.71,2.67676e-21,1.48296e-22
1384.68,2.48993e-21,1.36558e-22
1387.64,2.36424e-21,1.26267e-22
1390.61,2.30515e-21,1.31264e-22
1393.57,2.19374e-21,1.27886e-22
1396.54,2.08586e-21,1.24197e-22
1399.5,1.92653e-21,1.25246e-22
1402.47,1.8436e-21,1.22771e-22
1405.43,1.84272e-21,1.17623e-22
1408.4,1.84892e-21,1.17247e-22
1411.36,1.85321e-21,1.25776e-22
1414.33,1.80649e-21,1.18262e-22
1417.29,1.81175e-21,1.17593e-22
1420.26,1.70993e-21,1.11821e-22
1423.22,1.65749e-21,1.16029e-22
1426.19,1.64723e-21,1.1203e-22
1429.15,1.73876e-21,1.14599e-22
1432.12,1.65757e-21,1.10366e-22
1435.08,1.67861e-21,1.13272e-22
1438.05,1.63227e-21,1.05811e-22
1441.01,1.70735e-21,1.11899e-22
1443.98,1.71297e-21,1.11197e-22
1446.94,1.80172e-21,1.1953e-22
1449.91,1.94503e-21,1.2268e-22
1452.87,1.85997e-21,1.20134e-22
1455.84,1.84086e-21,1.26611e-22
1458.81,1.9394e-21,1.3394e-22
1461.77,1.83116e-21,1.15474e-22
1464.74,1.70872e-21,1.20645e-22
1467.7,1.57986e-21,1.21211e-22
1470.67,1.64769e-21,1.17427e-22
1473.63,1.52939e-21,1.03059e-22
1476.6,1.52315e-21,1.04786e-22
1479.56,1.54176e-21,1.06773e-22
1482.53,1.57309e-21,1.12466e-22
1485.49,1.51258e-21,1.17502e-22
1488.46,1.57371e-21,1.206e-22
1491.42,1.52762e-21,1.10476e-22
1494.39,1.52253e-21,1.08056e-22
1497.35,1.52128e-21,1.02309e-22
1500.32,1.49856e-21,1.11766e-22
1503.28,1.58302e-21,1.06273e-22
1506.25,1.61148e-21,1.00704e-22
1509.21,1.75321e-21,1.06685e-22
1512.18,1.71982e-21,1.04504e-22
1515.14,1.67489e-21,9.61398e-23
1518.11,1.73386e-21,9.91003e-23
1521.07,1.77846e-21,1.07391e-22
1524.04,1.78709e-21,1.07381e-22
1527,1.81413e-21,1.00237e-22
1529.97,1.82437e-21,1.0064e-22
1532.93,1.78926e-21,1.04056e-22
1535.9,1.95297e-21,1.18713e-22
1538.86,1.97177e-21,1.16447e-22
1541.83,2.03512e-21,1.24413e-22
1544.79,2.1271e-21,1.37503e-22
1547.76,2.07857e-21,1.38902e-22
1550.72,2.23124e-21,1.57943e-22
1553.69,2.11107e-21,1.53076e-22
1556.65,2.12897e-21,1.68857e-22
1559.62,2.31515e-21,1.73217e-22
1562.58,2.16871e-21,1.59084e-22
1565.55,2.22404e-21,1.70556e-22
1568.51,2.18011e-21,1.60252e-22
1571.48,2.31493e-21,1.6413e-22
1574.44,2.25684e-21,1.6747e-22
1577.41,2.31156e-21,1.71593e-22
1580.37,2.28728e-21,1.65487e-22
1583.34,2.28469e-21,1.48693e-22
1586.3,2.31739e-21,1.62232e-22
1589.27,2.38839e-21,1.51751e-22
