Tau,SF,+-
1110.74,3.56282e-22,1.99551e-23
1113.44,3.58557e-22,2.06892e-23
1116.14,3.33489e-22,1.85712e-23
1118.83,3.78018e-22,2.05512e-23
1121.53,3.65867e-22,2.1011e-23
1124.22,3.25568e-22,1.82587e-23
1126.92,3.79233e-22,2.17667e-23
1129.62,3.4838e-22,2.02279e-23
1132.31,3.5032e-22,1.90687e-23
1135.01,3.74092e-22,2.09075e-23
1137.7,3.60734e-22,2.07502e-23
1140.4,3.60326e-22,1.97826e-23
1143.1,4.00599e-22,2.10699e-23
1145.79,3.8535e-22,2.10198e-23
1148.49,3.73846e-22,1.99885e-23
1151.18,3.97557e-22,2.09596e-23
1153.88,3.84401e-22,2.25112e-23
1156.58,3.81489e-22,2.03281e-23
1159.27,3.89817e-22,2.26867e-23
1161.97,4.14628e-22,2.39248e-23
1164.66,3.98255e-22,2.23821e-23
1167.36,4.05492e-22,2.30685e-23
1170.06,3.92106e-22,2.34223e-23
1172.75,4.06929e-22,2.31908e-23
1175.45,3.93376e-22,2.34474e-23
1178.14,4.02044e-22,2.3843e-23
1180.84,4.0177e-22,2.18818e-23
1183.54,3.87712e-22,2.21279e-23
1186.23,3.98752e-22,2.15658e-23
1188.93,4.23418e-22,2.13927e-23
1191.62,3.89839e-22,2.10654e-23
1194.32,4.17919e-22,2.26189e-23
1197.02,3.77373e-22,1.87993e-23
1199.71,3.8196e-22,2.04345e-23
1202.41,3.97098e-22,2.02499e-23
1205.1,3.80455e-22,1.8967e-23
1207.8,3.72114e-22,1.97342e-23
1210.5,4.0945e-22,2.15274e-23
1213.19,3.97108e-22,2.07607e-23
1215.89,4.06449e-22,2.17934e-23
1218.58,4.00338e-22,2.11297e-23
1221.28,3.99021e-22,2.16585e-23
1223.98,3.52242e-22,1.94098e-23
1226.67,3.63971e-22,2.00042e-23
1229.37,3.6599e-22,2.0237e-23
1232.06,3.45551e-22,1.86566e-23
1234.76,3.43288e-22,1.87638e-23
1237.46,3.69252e-22,1.99382e-23
1240.15,3.63653e-22,1.92119e-23
1242.85,3.46188e-22,1.80285e-23
1245.54,3.82122e-22,2.02766e-23
1248.24,3.78984e-22,1.94216e-23
1250.94,3.82413e-22,1.85539e-23
1253.63,4.53519e-22,2.34526e-23
1256.33,4.13437e-22,1.9898e-23
1259.02,4.13336e-22,2.13077e-23
1261.72,4.22871e-22,2.14639e-23
1264.42,4.08692e-22,2.05164e-23
1267.11,3.99245e-22,2.1123e-23
1269.81,4.02144e-22,2.17621e-23
1272.5,4.05874e-22,2.27051e-23
1275.2,4.11171e-22,2.22637e-23
1277.9,4.04923e-22,2.22492e-23
1280.59,3.73128e-22,2.00705e-23
1283.29,3.94299e-22,2.18793e-23
1285.98,3.83884e-22,2.18667e-23
