Tau,SF,+-
1090.81,1.23204e-22,5.96928e-24
1093.83,1.22991e-22,6.52559e-24
1096.84,1.2351e-22,6.0136e-24
1099.85,1.17086e-22,6.52851e-24
1102.87,1.12534e-22,5.56955e-24
1105.88,1.14809e-22,6.47033e-24
1108.89,1.21689e-22,6.2307e-24
1111.91,1.15317e-22,6.82075e-24
1114.92,1.22103e-22,6.6207e-24
1117.93,1.134e-22,7.25265e-24
1120.95,1.185e-22,6.76936e-24
1123.96,1.1795e-22,7.56358e-24
1126.97,1.18185e-22,6.65545e-24
1129.99,1.18581e-22,7.22754e-24
1133,1.16486e-22,6.39192e-24
1136.01,1.19254e-22,6.74017e-24
1139.03,1.22442e-22,6.07514e-24
1142.04,1.08503e-22,6.14316e-24
1145.05,1.07647e-22,5.43392e-24
1148.07,9.60546e-23,5.86409e-24
1151.08,1.07772e-22,5.88999e-24
1154.09,9.67971e-23,6.7281e-24
1157.11,1.0941e-22,6.44148e-24
1160.12,1.01227e-22,6.74134e-24
1163.13,1.14123e-22,6.36151e-24
1166.15,1.09407e-22,7.1114e-24
1169.16,1.09403e-22,6.38189e-24
1172.17,1.04201e-22,6.41231e-24
1175.19,1.03486e-22,6.22977e-24
1178.2,9.78182e-23,6.68125e-24
1181.21,1.01257e-22,6.31359e-24
1184.23,1.021e-22,7.09675e-24
1187.24,1.03495e-22,6.36872e-24
1190.25,1.0259e-22,6.89434e-24
1193.26,1.07427e-22,6.45175e-24
1196.28,1.03231e-22,6.45538e-24
1199.29,1.03015e-22,6.11441e-24
1202.3,9.12289e-23,6.45851e-24
1205.32,9.12629e-23,6.34755e-24
1208.33,8.24246e-23,6.07592e-24
1211.34,8.83445e-23,6.55872e-24
1214.36,9.09334e-23,6.2361e-24
1217.37,9.90748e-23,6.62276e-24
1220.38,1.01106e-22,6.31105e-24
1223.4,1.03267e-22,6.9627e-24
1226.41,1.04208e-22,6.73446e-24
1229.42,1.09898e-22,7.48217e-24
1232.44,1.1511e-22,7.61358e-24
1235.45,1.15367e-22,7.78138e-24
1238.46,1.15757e-22,7.45936e-24
1241.48,1.31088e-22,8.29096e-24
1244.49,1.3704e-22,8.74581e-24
1247.5,1.52876e-22,9.42133e-24
1250.52,1.58772e-22,8.90052e-24
1253.53,1.55908e-22,8.28002e-24
1256.54,1.51059e-22,7.67397e-24
1259.56,1.56064e-22,8.18664e-24
1262.57,1.56809e-22,8.18037e-24
1265.58,1.53141e-22,8.21659e-24
1268.6,1.53255e-22,7.81114e-24
1271.61,1.63867e-22,8.52645e-24
1274.62,1.61748e-22,8.31746e-24
1277.64,1.66524e-22,8.548e-24
1280.65,1.63228e-22,7.80704e-24
1283.66,1.56749e-22,7.7503e-24
1286.68,1.54178e-22,7.33913e-24
1289.69,1.61724e-22,8.16527e-24
1292.7,1.62045e-22,7.4541e-24
1295.72,1.5626e-22,7.72764e-24
1298.73,1.5881e-22,8.01159e-24
1301.74,1.57449e-22,1.02233e-23
1304.76,1.60759e-22,9.77313e-24
1307.77,1.47034e-22,9.08267e-24
1310.78,1.5107e-22,8.91216e-24
1313.8,1.36727e-22,8.00792e-24
1316.81,1.3773e-22,7.97131e-24
1319.82,1.31404e-22,8.42399e-24
1322.84,1.43328e-22,8.43281e-24
1325.85,1.27182e-22,8.15474e-24
1328.86,1.49241e-22,8.456e-24
1331.88,1.4008e-22,8.7824e-24
1334.89,1.6452e-22,8.78302e-24
1337.9,1.5286e-22,9.57874e-24
1340.92,1.55484e-22,8.45877e-24
1343.93,1.41978e-22,9.12267e-24
1346.94,1.48381e-22,8.55599e-24
1349.96,1.51416e-22,9.44803e-24
1352.97,1.5152e-22,8.78568e-24
1355.98,1.51689e-22,9.64434e-24
1359,1.46874e-22,8.63849e-24
1362.01,1.48818e-22,1.02255e-23
1365.02,1.49742e-22,9.04075e-24
1368.04,1.45103e-22,1.03144e-23
1371.05,1.66361e-22,9.80687e-24
1374.06,1.56564e-22,1.08548e-23
1377.08,1.69658e-22,1.00323e-23
1380.09,1.7864e-22,1.21902e-23
1383.1,1.70818e-22,9.62859e-24
1386.12,1.67401e-22,1.10094e-23
1389.13,1.70128e-22,9.52014e-24
1392.14,1.64116e-22,1.10836e-23
1395.16,1.66127e-22,9.71491e-24
1398.17,1.66877e-22,1.1218e-23
1401.18,1.61031e-22,9.67336e-24
1404.2,1.72804e-22,1.14201e-23
1407.21,1.66659e-22,9.72152e-24
1410.22,1.78749e-22,1.14153e-23
1413.24,1.72602e-22,9.80795e-24
1416.25,1.67286e-22,1.06043e-23
1419.26,1.68034e-22,9.89209e-24
1422.28,1.6828e-22,1.10747e-23
1425.29,1.65191e-22,9.71803e-24
1428.3,1.83925e-22,1.16497e-23
1431.32,1.68684e-22,9.63705e-24
1434.33,1.89181e-22,1.08712e-23
1437.34,1.92299e-22,1.04287e-23
1440.36,1.9516e-22,1.08655e-23
1443.37,1.88121e-22,1.05759e-23
1446.38,1.92523e-22,1.05453e-23
1449.4,1.89059e-22,1.00536e-23
1452.41,1.99358e-22,1.07549e-23
1455.42,2.07391e-22,1.00881e-23
1458.43,2.1556e-22,1.08265e-23
1461.45,2.26417e-22,1.025e-23
1464.46,2.37799e-22,1.11718e-23
1467.47,2.45794e-22,1.15075e-23
1470.49,2.27697e-22,1.085e-23
1473.5,2.17996e-22,1.11937e-23
1476.51,2.27436e-22,1.02815e-23
1479.53,2.16042e-22,1.08589e-23
1482.54,2.25093e-22,9.87471e-24
1485.55,2.21081e-22,1.02935e-23
1488.57,2.21214e-22,1.03706e-23
1491.58,2.18954e-22,1.1205e-23
1494.59,2.24143e-22,1.14446e-23
1497.61,2.23814e-22,1.18272e-23
1500.62,2.25195e-22,1.18499e-23
1503.63,2.36165e-22,1.34932e-23
1506.65,2.29973e-22,1.25237e-23
1509.66,2.21268e-22,1.33636e-23
1512.67,2.25356e-22,1.26747e-23
1515.69,1.9626e-22,1.25858e-23
1518.7,2.01905e-22,1.18399e-23
1521.71,1.93738e-22,1.33487e-23
1524.73,1.99547e-22,1.20881e-23
1527.74,1.94355e-22,1.32019e-23
1530.75,1.94065e-22,1.1898e-23
1533.77,2.01904e-22,1.34117e-23
1536.78,1.94828e-22,1.20822e-23
1539.79,1.95223e-22,1.32869e-23
1542.81,1.97118e-22,1.1963e-23
1545.82,1.75203e-22,1.27859e-23
1548.83,1.78981e-22,1.18376e-23
1551.85,1.50056e-22,1.16819e-23
1554.86,1.70839e-22,1.16672e-23
1557.87,1.46106e-22,1.12551e-23
1560.89,1.72862e-22,1.14438e-23
1563.9,1.59508e-22,1.20095e-23
1566.91,1.65405e-22,1.11202e-23
1569.93,1.47688e-22,1.12808e-23
1572.94,1.489e-22,1.06957e-23
1575.95,1.42816e-22,1.13712e-23
1578.97,1.47052e-22,1.07879e-23
1581.98,1.37431e-22,1.08276e-23
1584.99,1.49868e-22,1.05338e-23
1588.01,1.41479e-22,1.11996e-23
1591.02,1.57512e-22,1.08516e-23
1594.03,1.41983e-22,1.12204e-23
1597.05,1.58652e-22,1.07515e-23
1600.06,1.3714e-22,1.03551e-23
1603.07,1.5669e-22,9.91867e-24
1606.09,1.41591e-22,1.00814e-23
1609.1,1.49785e-22,9.4719e-24
1612.11,1.35181e-22,1.01783e-23
1615.13,1.39445e-22,9.96429e-24
1618.14,1.30404e-22,1.094e-23
1621.15,1.33903e-22,9.53599e-24
1624.17,1.30361e-22,1.07187e-23
1627.18,1.37241e-22,9.74348e-24
1630.19,1.35571e-22,9.65307e-24
1633.21,1.49773e-22,9.24413e-24
1636.22,1.43483e-22,9.68504e-24
