Time,Flux,+-
53817.616933,2.245E-11,7.859E-13
53819.978507,2.124E-11,2.34E-12
53821.941933,2.753E-11,2.983E-12
53823.4936,3.05E-11,1.06E-12
53825.390081,3.55E-11,1.116E-12
53827.557025,3.272E-11,1.423E-12
53829.41184,3.466E-11,1.104E-12
53831.483229,2.979E-11,1.177E-12
53833.527581,3.119E-11,9.989E-13
53835.477488,2.782E-11,1.376E-12
53837.453137,3.18E-11,9.106E-13
53839.214433,2.913E-11,1.184E-12
53841.388692,3.486E-11,1.039E-12
53843.276933,3.136E-11,1.01E-12
53845.252303,3.241E-11,1.129E-12
53847.265359,3.11E-11,8.079E-13
53849.375081,3.527E-11,9.562E-13
53851.210637,3.137E-11,8.424E-13
53853.0861,3.101E-11,9.399E-13
53855.968507,3.744E-11,9.336E-13
53857.999248,4.147E-11,1.102E-12
53859.943507,4.179E-11,2.153E-12
53861.15184,3.688E-11,8.451E-13
53863.056007,4.039E-11,8.725E-13
53865.496285,3.001E-11,1.261E-12
53867.931285,3.827E-11,2.817E-12
53869.349711,4.388E-11,1.187E-12
53871.445822,3.339E-11,1.16E-12
53873.614433,3.276E-11,1.978E-12
53875.23684,3.234E-11,8.376E-13
53877.403137,3.373E-11,1.214E-12
53879.244433,3.597E-11,8.941E-13
53881.328785,3.309E-11,1.251E-12
53883.359155,3.603E-11,1.321E-12
53885.281655,3.436E-11,9.754E-13
53887.175451,3.011E-11,9.446E-13
53889.31647,2.816E-11,1.587E-12
53891.222581,2.617E-11,1.128E-12
53893.385637,3.138E-11,9.454E-13
53895.149988,3.438E-11,9.757E-13
53897.835544,3.552E-11,9.353E-13
53899.664618,3.99E-11,1.093E-12
53901.121562,3.255E-11,8.618E-13
53903.846285,3.13E-11,1.072E-12
53905.049248,3.89E-11,9.074E-13
53907.012396,4.347E-11,9.949E-13
53909.526285,2.549E-11,1.413E-12
53913.744803,4.219E-11,1.516E-12
53914.934155,4.693E-11,1.114E-12
53917.088877,4.9E-11,1.029E-12
53919.599062,4.852E-11,2.058E-12
53921.21934,4.677E-11,1.23E-12
53923.387951,3.982E-11,1.525E-12
53925.161192,4.132E-11,9.377E-13
53927.176377,4.14E-11,1.047E-12
53929.287303,4.299E-11,1.02E-12
53931.315729,3.594E-11,1.211E-12
53933.200637,4.056E-11,1.752E-12
53935.436007,3.399E-11,1.345E-12
53937.331748,3.275E-11,1.434E-12
53939.224525,2.985E-11,2.846E-12
53941.138044,2.934E-11,9.896E-13
53942.973044,3.11E-11,9.249E-13
53945.005914,3.484E-11,1.018E-12
53947.105822,3.407E-11,1.006E-12
53952.052488,4.473E-11,1.407E-12
53954.047396,4.199E-11,1.163E-12
53957.943137,3.631E-11,8.255E-13
53959.847025,4.353E-11,9.265E-13
53961.809896,4.914E-11,2.271E-12
53963.755637,4.195E-11,4.039E-12
53965.68397,4.281E-11,1.321E-12
53969.514803,4.647E-11,1.195E-12
53971.537303,4.569E-11,4.387E-12
53973.171007,5.03E-11,9.685E-13
53975.393692,4.904E-11,2.205E-12
53977.094988,5.35E-11,1.058E-12
53979.318785,4.231E-11,2.419E-12
53981.088785,5.078E-11,1.173E-12
53983.175266,4.862E-11,1.254E-12
53985.148137,4.425E-11,9.834E-13
53987.044618,4.181E-11,8.475E-13
53989.922303,4.041E-11,1.11E-12
53992.007025,4.016E-11,1.917E-12
53993.724062,4.345E-11,1.137E-12
53995.038322,3.564E-11,9.946E-13
53997.068507,3.761E-11,7.388E-13
53999.540729,5.378E-11,1.177E-12
54001.96397,5.228E-11,1.147E-12
54003.603229,4.464E-11,8.942E-13
54005.692025,4.904E-11,1.114E-12
54007.598044,5.474E-11,1.157E-12
54009.617025,6.279E-11,1.012E-12
54011.592488,4.754E-11,9.951E-13
54013.318414,4.682E-11,1.264E-12
54015.070637,4.777E-11,1.031E-12
54017.619988,4.782E-11,1.03E-12
54019.067303,4.458E-11,1.272E-12
54021.4411,4.028E-11,2.578E-12
54023.060914,5.211E-11,1.688E-12
54025.103785,4.674E-11,1.055E-12
54027.068137,3.965E-11,8.907E-13
54029.874711,4.627E-11,1.003E-12
54031.906377,4.737E-11,9.993E-13
54033.933414,4.858E-11,9.343E-13
54035.897674,4.24E-11,1.114E-12
54037.792396,4.568E-11,8.473E-13
54039.634063,4.875E-11,1.032E-12
54041.799988,3.648E-11,9.237E-13
54043.763137,4.051E-11,1.01E-12
54045.710174,4.126E-11,1.135E-12
54047.756562,4.424E-11,9.924E-13
54049.693414,4.434E-11,1.194E-12
54051.680637,5.068E-11,9.605E-13
54053.783785,4.124E-11,1.115E-12
54055.262118,4.493E-11,9.882E-13
54057.128137,3.751E-11,1.537E-12
54059.578137,4.957E-11,1.444E-12
54063.149525,4.9E-11,1.428E-12
54065.179988,5.402E-11,1.388E-12
54067.14184,4.673E-11,1.386E-12
54071.066285,3.98E-11,1.459E-12
54073.241562,3.938E-11,1.221E-12
54075.850729,4.026E-11,8.186E-13
54077.94647,4.475E-11,1.204E-12
54079.692211,4.851E-11,1.3E-12
54081.802118,4.375E-11,1.016E-12
54083.113785,4.214E-11,1.572E-12
54085.623785,4.277E-11,1.004E-12
54087.636192,3.76E-11,1.166E-12
54089.787118,4.902E-11,1.081E-12
54091.627674,3.561E-11,1.069E-12
54093.974433,4.219E-11,9.935E-13
54095.690451,4.328E-11,1.086E-12
54097.707025,3.846E-11,1.055E-12
54099.065544,2.864E-11,1.072E-12
54101.491007,2.048E-11,8.203E-13
54103.317859,2.469E-11,9.517E-13
54105.052025,2.801E-11,1.245E-12
54107.084525,3.462E-11,1.317E-12
54109.139155,3.432E-11,2.656E-12
54111.043507,3.022E-11,1.066E-12
54115.344063,2.373E-11,1.079E-12
54117.1011,2.849E-11,1.079E-12
54119.924525,3.359E-11,9.834E-13
54121.885081,4.297E-11,9.15E-13
54123.561285,4.218E-11,1.267E-12
54125.742025,4.197E-11,1.152E-12
54127.904711,2.993E-11,1.008E-12
54129.665451,4.336E-11,1.462E-12
54131.546562,3.302E-11,1.064E-12
54133.589618,3.889E-11,8.282E-13
54135.474618,4.165E-11,9.249E-13
54137.461563,3.468E-11,9.482E-13
54139.625174,3.1E-11,1.208E-12
54141.367674,3.256E-11,1.019E-12
54143.330822,2.991E-11,9.731E-13
54145.62897,2.47E-11,1.008E-12
54147.269248,3.32E-11,1.063E-12
54149.507211,2.88E-11,8.124E-13
54151.537303,3.861E-11,1.102E-12
54153.27647,3.157E-11,9.084E-13
54155.170266,3.363E-11,1.247E-12
54157.424525,3.486E-11,9.834E-13
54159.177118,3.856E-11,9.858E-13
54161.825822,3.014E-11,1.028E-12
54163.812581,3.35E-11,2.337E-12
54167.000174,3.396E-11,1.105E-12
54169.806377,3.302E-11,1.118E-12
54171.157303,3.142E-11,1.19E-12
54173.471563,3.291E-11,1.157E-12
54175.886933,3.618E-11,1.064E-12
54177.657396,3.76E-11,8.465E-13
54179.558044,5.068E-11,1.173E-12
54183.544618,3.993E-11,1.079E-12
54185.4386,4.489E-11,9.737E-13
54187.414525,3.344E-11,9.253E-13
54189.3636,3.054E-11,9.584E-13
54191.475451,2.576E-11,1.209E-12
54193.368507,2.805E-11,9.945E-13
54195.317674,2.914E-11,8.639E-13
54197.479618,3.051E-11,1.001E-12
54199.393414,3.224E-11,9.435E-13
54201.334803,2.61E-11,8.712E-13
54203.234433,2.283E-11,9.086E-13
54205.407766,2.687E-11,8.849E-13
54207.380637,3.699E-11,1.177E-12
54209.259803,3.627E-11,1.205E-12
54211.150544,2.88E-11,1.056E-12
54213.244896,2.894E-11,8.839E-13
54215.139248,3.421E-11,2.276E-12
54217.048692,3.494E-11,9.088E-13
54219.01147,2.463E-11,9.419E-13
54221.456933,2.404E-11,1.089E-12
54223.468322,2.457E-11,9.695E-13
54225.371933,2.461E-11,1.129E-12
54227.333785,2.917E-11,1.023E-12
54229.367766,3.914E-11,9.31E-13
54231.253229,4.398E-11,1.018E-12
54233.280914,3.979E-11,1.112E-12
54235.648044,3.279E-11,1.105E-12
54237.164063,3.413E-11,1.022E-12
54239.193785,3.78E-11,9.691E-13
54241.2761,4.032E-11,8.829E-13
54243.320359,3.979E-11,1.13E-12
54245.214711,4.06E-11,1.024E-12
54247.358137,3.708E-11,1.009E-12
54249.259803,3.663E-11,9.81E-13
54251.283229,3.626E-11,9.018E-13
54253.114525,3.448E-11,9.275E-13
54255.073507,3.568E-11,9.135E-13
54257.106192,3.777E-11,8.669E-13
54259.1961,4.129E-11,8.056E-13
54261.034063,3.596E-11,1.064E-12
54263.053137,3.97E-11,1.533E-12
54267.750544,3.703E-11,2.015E-12
54269.579988,3.467E-11,9.514E-13
54271.541748,3.927E-11,1.001E-12
54273.294618,3.273E-11,8.25E-13
54275.396933,3.344E-11,8.937E-13
54277.358322,4.451E-11,1.138E-12
54279.179711,3.559E-11,9.587E-13
54283.227118,3.279E-11,1.006E-12
54287.1661,2.815E-11,9.435E-13
54291.157025,3.185E-11,8.45E-13
54294.031748,2.489E-11,9.354E-13
54299.087951,2.5E-11,1.027E-12
54303.784155,1.705E-11,8.128E-13
54307.572025,1.043E-11,7.343E-13
54311.754155,1.217E-11,9.399E-13
54319.685174,1.467E-11,1.004E-12
54323.184711,1.256E-11,1.081E-12
54327.084155,1.103E-11,1E-12
54331.159896,1.504E-11,6.728E-13
54335.150359,1.771E-11,9.858E-13
54339.138785,1.821E-11,9.359E-13
54341.033137,2.164E-11,8.694E-13
54343.788322,2.203E-11,8.03E-13
54345.089525,2.373E-11,9.045E-13
54346.797488,2.399E-11,1.018E-12
54349.07934,2.593E-11,1.065E-12
54351.838137,2.45E-11,8.917E-13
54353.868785,2.43E-11,8.885E-13
54355.748692,2.301E-11,1.041E-12
54357.792396,1.912E-11,8.458E-13
54359.868229,1.555E-11,8.855E-13
54361.762303,1.098E-11,9.214E-13
54363.437581,1.219E-11,7.341E-13
54365.476285,6.155E-12,3.167E-12
54367.572488,9.47E-12,1.282E-12
54369.127303,9.388E-12,6.416E-13
54371.351655,7.507E-12,7.331E-13
54373.121007,9.268E-12,7.107E-13
54375.477303,1.152E-11,6.936E-13
54377.905729,1.447E-11,8.539E-13
54379.073229,1.538E-11,9.322E-13
54381.934433,1.798E-11,8.071E-13
54383.909433,2.358E-11,9.832E-13
54386.006655,2.792E-11,9.527E-13
54387.901377,2.17E-11,7.762E-13
54389.945081,2.208E-11,1.172E-12
54391.770822,2.174E-11,7.955E-13
54393.933322,2.275E-11,9.299E-13
54395.829803,2.029E-11,8.015E-13
54397.5711,2.279E-11,8.934E-13
54399.48184,2.272E-11,8.932E-13
54399.819803,2.495E-11,8.095E-13
54400.389988,2.191E-11,6.862E-13
54400.930081,2.09E-11,1.2E-12
54401.509248,2.389E-11,7.318E-13
