Time,Flux,+-
52019.529433,9.101E-11,8.693E-13
52022.590914,1.123E-10,1.632E-12
52024.223507,1.124E-10,1.637E-12
52026.4811,9.472E-11,1.139E-12
52028.472488,9.119E-11,9.145E-13
52031.452211,1.023E-10,1.056E-12
52033.440266,9.664E-11,8.985E-13
52035.381192,9.274E-11,1.019E-12
52037.48397,1.034E-10,1.107E-12
52040.280266,9.161E-11,1.259E-12
52042.587674,9.557E-11,9.439E-13
52044.909525,9.477E-11,1.16E-12
52047.557581,7.788E-11,8.132E-13
52050.472674,8.897E-11,9.044E-13
52052.792025,9.718E-11,9.745E-13
52054.400359,1.073E-10,9.603E-13
52056.656377,1.061E-10,1.032E-12
52059.297118,1.11E-10,8.628E-13
52061.275729,1.1E-10,1.111E-12
52064.4561,1.317E-10,1.063E-12
52065.666563,1.452E-10,9.893E-13
52068.166563,1.219E-10,1.143E-12
52070.172859,1.19E-10,1.164E-12
52073.204155,1.107E-10,1.027E-12
52075.874896,1.121E-10,1.25E-12
52077.310174,1.132E-10,1.104E-12
52081.016655,1.241E-10,1.405E-12
52083.074803,1.316E-10,1.228E-12
52084.797118,1.272E-10,1.217E-12
52090.363414,1.417E-10,1.094E-12
52092.217766,1.516E-10,1.144E-12
52094.405081,1.699E-10,1.098E-12
52096.273414,1.523E-10,1.012E-12
52098.909988,1.349E-10,1.387E-12
52100.896192,1.287E-10,1.768E-12
52103.28184,1.333E-10,1.04E-12
52106.070822,1.344E-10,1.157E-12
52108.057951,1.133E-10,1.203E-12
52110.041748,1.159E-10,9.26E-13
52113.362211,1.514E-10,9.864E-13
52115.012951,1.412E-10,1.229E-12
52118.321007,1.276E-10,1.314E-12
52119.464803,1.247E-10,1.004E-12
52122.890081,1.488E-10,1.421E-12
52125.212118,1.536E-10,1.032E-12
52127.682859,1.108E-10,1.26E-12
52129.185637,1.186E-10,1.116E-12
52131.172581,1.016E-10,9.743E-13
52133.095174,1.011E-10,8.367E-13
52136.073877,9.505E-11,9.717E-13
52138.261748,9.377E-11,9.321E-13
52141.242211,9.953E-11,9.969E-13
52142.904062,9.349E-11,1.022E-12
52145.21684,8.765E-11,9.947E-13
52148.216192,9.237E-11,9.349E-13
52150.250729,9.251E-11,9.127E-13
52211.908229,1.276E-10,9.425E-13
52214.817396,1.449E-10,1.343E-12
52216.803229,1.47E-10,1.212E-12
52218.714711,1.458E-10,1.124E-12
52220.698692,1.336E-10,1.149E-12
52223.742303,1.183E-10,9.716E-13
52225.993877,1.162E-10,1.109E-12
52227.977396,1.016E-10,1.042E-12
52230.888137,1.028E-10,1.022E-12
52232.872951,1.332E-10,1.143E-12
52235.783044,1.47E-10,1.17E-12
52237.834155,1.383E-10,1.16E-12
52251.92434,1.074E-10,9.243E-13
52253.974433,1.237E-10,1.051E-12
52255.958507,1.334E-10,1.119E-12
52257.876007,1.39E-10,1.144E-12
52259.859618,1.429E-10,1.148E-12
52261.511377,1.414E-10,1.341E-12
52264.023877,1.561E-10,1.476E-12
52266.23184,1.427E-10,1.394E-12
52266.40184,1.46E-10,2.037E-12
52268.590359,1.326E-10,1.081E-12
52271.697488,1.219E-10,9.661E-13
52273.946007,1.093E-10,1.217E-12
52276.656933,1.106E-10,1.001E-12
52278.982766,1.203E-10,1.223E-12
52280.821377,1.176E-10,1.083E-12
52283.797118,1.04E-10,1.033E-12
52286.37434,1.203E-10,1.044E-12
52288.753785,1.089E-10,9.383E-13
52290.803785,1.049E-10,9.195E-13
52293.7111,1.261E-10,1.083E-12
52295.6936,1.114E-10,1.037E-12
52297.7436,1.148E-10,1.187E-12
52300.393785,1.303E-10,1.286E-12
52302.306933,1.239E-10,9.464E-13
52304.287303,1.287E-10,1.159E-12
52306.797951,1.203E-10,1.007E-12
52308.780081,1.126E-10,1.045E-12
52310.432025,1.41E-10,1.121E-12
52313.735544,1.702E-10,1.152E-12
52315.981655,1.285E-10,1.259E-12
52318.56647,1.284E-10,1.026E-12
52321.399525,1.153E-10,1.049E-12
52324.439988,1.136E-10,9.147E-13
52326.553137,1.09E-10,9.863E-13
52328.402859,1.273E-10,1.017E-12
52331.639062,1.382E-10,1.148E-12
52332.697674,1.214E-10,1.258E-12
52334.545914,1.221E-10,1.112E-12
52337.517211,1.22E-10,9.153E-13
52339.564433,1.32E-10,1.169E-12
52341.151285,1.118E-10,9.18E-13
52343.205729,1.05E-10,9.26E-13
52346.567025,1.273E-10,1.043E-12
52349.205637,1.367E-10,1.026E-12
52350.660266,1.454E-10,1.251E-12
52353.630637,1.429E-10,1.177E-12
52355.150729,1.744E-10,1.241E-12
52357.724525,1.618E-10,1.221E-12
52360.579525,1.611E-10,1.111E-12
52362.490544,1.355E-10,9.701E-13
52364.468507,1.117E-10,9.964E-13
52366.51934,9.294E-11,8.811E-13
52369.416007,9.825E-11,8.213E-13
52371.455451,9.603E-11,9.091E-13
52371.798137,9.531E-11,7.658E-13
52371.940544,9.623E-11,1.149E-12
52372.111377,9.825E-11,1.527E-12
52372.247303,9.489E-11,9.513E-13
52372.383877,9.51E-11,8.386E-13
52372.792859,9.42E-11,8.563E-13
52372.930359,9.889E-11,1.316E-12
52373.032766,9.67E-11,2.109E-12
52374.159063,1.013E-10,1.352E-12
52374.295637,1.013E-10,9.447E-13
52374.842211,1.002E-10,1.113E-12
52374.977951,9.505E-11,1.116E-12
52375.14897,1.012E-10,1.189E-12
52375.285451,9.949E-11,8.917E-13
52375.832025,1.014E-10,9.561E-13
52375.967674,1.052E-10,1.314E-12
52376.139062,1.018E-10,1.279E-12
52376.275544,1.031E-10,1.027E-12
52376.957025,1.039E-10,1.12E-12
52377.129618,9.812E-11,1.681E-12
52377.265451,1.002E-10,9.069E-13
52377.94684,9.702E-11,1.109E-12
52378.08184,9.589E-11,1.349E-12
52378.255174,9.677E-11,1.03E-12
52378.936285,9.319E-11,1.016E-12
52379.07147,8.975E-11,1.472E-12
52379.244988,9.307E-11,9.177E-13
52379.37647,9.215E-11,9.428E-13
52379.922396,9.225E-11,1.728E-12
52379.993507,8.927E-11,1.166E-12
52380.166377,8.913E-11,1.071E-12
52380.301562,8.784E-11,9.242E-13
52380.366748,8.699E-11,9.988E-13
52380.843692,8.523E-11,1.244E-12
52380.982951,8.594E-11,9.689E-13
52381.156748,8.378E-11,1.208E-12
52381.290451,8.42E-11,1.065E-12
52381.423507,8.231E-11,8.881E-13
52383.469248,9.113E-11,1.009E-12
52386.505081,1.133E-10,1.038E-12
52389.474248,1.105E-10,1.002E-12
52390.46434,1.191E-10,1.104E-12
52392.443785,1.1E-10,1.004E-12
52395.413322,8.954E-11,9.015E-13
52397.459525,1.011E-10,9.331E-13
52399.438229,1.076E-10,1.044E-12
52401.815174,1.031E-10,9.561E-13
52404.454063,1.057E-10,1.002E-12
52406.582674,1.346E-10,1.007E-12
52409.00684,1.148E-10,1.399E-12
52411.514248,1.262E-10,9.808E-13
52413.822581,1.257E-10,9.475E-13
52416.398229,1.759E-10,1.454E-12
52418.373507,1.487E-10,1.183E-12
52420.423877,1.497E-10,1.087E-12
52423.322488,1.18E-10,1.044E-12
52425.299248,1.166E-10,1.136E-12
52427.081933,9.777E-11,1.094E-12
52430.245451,8.686E-11,1.188E-12
52433.422211,1.066E-10,1.125E-12
52434.47647,9.062E-11,1.163E-12
52437.373322,8.305E-11,9.517E-13
52439.283137,8.256E-11,1.271E-12
52442.191285,1.033E-10,1.086E-12
52444.298692,1.062E-10,9.543E-13
52446.144525,1.095E-10,9.632E-13
52451.687951,1.011E-10,1.565E-12
52453.401655,9.914E-11,9.107E-13
52456.319525,8.906E-11,8.468E-13
52458.480822,8.679E-11,8.092E-13
52460.988507,9.33E-11,9.883E-13
52462.173322,1.006E-10,9.896E-13
52464.941933,1.258E-10,1.178E-12
52467.317025,9.687E-11,1.106E-12
52470.167674,8.925E-11,1.127E-12
52472.32934,9.396E-11,9.549E-13
52474.966655,8.654E-11,9.543E-13
52477.012951,8.265E-11,9.151E-13
